earnings for pretty woman,O-earnings O-for B-movie.name I-movie.name,0.99620834401212,revenue,0.5381755391374l
the movie is called big,O-the O-movie O-is O-called B-movie.name,0.4586628758641,movie,0.86856078551245
show will ferrell films,O-show B-person.name I-person.name O-films,0.6305903356737,movie,0.99890390986954
please find the director of freedom writers,O-please O-find O-the O-director O-of B-movie.name I-movie.name,0.99795579375602,movie,0.9564368638317
what genre is parenthood,O-what O-genre O-is B-movie.name,0.99999995357387,genre,0.8172066788893
who was apollo thirteen 's cast,O-who O-was B-movie.name I-movie.name O-'s O-cast,0.96473840473758,actor,0.99849540177886
give me a list of pg movies,O-give O-me O-a O-list O-of B-rating.name O-movies,0.99999997707792,movie,0.9999999988342
tell me the names of some soccer movies,O-tell O-me O-the O-names O-of O-some B-movie.language O-movies,0.48805723521182,movie,0.99999928591472
who produced hotel rwanda cover art,O-who O-produced B-movie.name I-movie.name I-movie.name I-movie.name,0.9998575960215,producer,0.94374166356182
i want a list of movies about war,O-i O-want O-a O-list O-of O-movies O-about B-movie.subject,0.99937811024257,movie,0.99999999979823
list dredd movie,O-list B-movie.name O-movie,0.99990502270757,movie,0.96073958386745
what was pretty woman 's budget,O-what O-was B-movie.name I-movie.name O-'s O-budget,0.99675782728739,budget,0.87379976150733
find movies in swahili,O-find O-movies O-in B-movie.language,0.99053413311356,movie,0.99983712509142
about steven spielberg,O-about B-director.name I-director.name,0.52179657242891,movie,0.94097806565343
take me to the french version of et,O-take O-me O-to O-the B-country.name O-version O-of B-movie.name,0.40821807637947,movie,0.99999042037783
what films have been produced by warner bros.,O-what O-films O-have O-been O-produced O-by B-producer.name I-producer.name,0.99989930351104,movie,0.99999999821318
how much was it to make paranorman,O-how O-much O-was O-it O-to O-make B-movie.name,0.99999999761364,budget,0.99333603394911
please list movies that are rated pg-13,O-please O-list O-movies O-that O-are O-rated B-rating.name,0.99999204971828,movie,0.99999999737415
is this movie filmed in india,O-is O-this O-movie O-filmed O-in B-country.name,0.99998728779598,movie,0.9998678836486
which movies star tom cruise,O-which O-movies O-star B-actor.name I-actor.name,0.92503240122992,movie,0.99999386562565
chinese films,B-country.name O-films,0.98507021150068,movie,0.94162992351613
exhibit all details of original finding nemo movie,O-exhibit O-all O-details O-of O-original B-movie.name I-movie.name O-movie,0.99999977519492,movie,0.99999814706876
what country is bullhead,O-what O-country O-is B-movie.name,0.99999957584051,movie,0.79193715829258
karate kid release date please,B-movie.name I-movie.name O-release O-date O-please,0.99895345176733,release_date,0.98875318009169
which movies did bruce willis star in,O-which O-movies O-did B-actor.name I-actor.name O-star O-in,0.99979594355038,movie,0.99999973882707
find et in french,O-find B-movie.name O-in B-movie.language,0.99954258856969,movie,0.99959699337099
is in july on netflix,O-is B-movie.name I-movie.name O-on O-netflix,0.98938215091263,movie,0.99093564460848
who is in picture three,O-who O-is O-in O-picture O-three,0.48841556618327,actor,0.84134808797956
what is will ferrell famous for,O-what O-is B-person.name I-person.name O-famous O-for,0.99371511382068,movie,0.99990165219689
show charles vidor movie,O-show B-director.name I-director.name O-movie,0.89118946389868,movie,0.99798017360241
who produced harlem nights,O-who O-produced B-movie.name I-movie.name,0.9987898207885,producer,0.90057644264679
